t_s,step_idx,n_drones,min_separation_m,max_separation_m,mean_separation_m,min_distance_to_goal_m,mean_distance_to_goal_m,max_distance_to_goal_m,mean_speed_ms,max_speed_ms
100.0,1000,5,9.878153092294639,39.97521258536315,19.989811182427623,2450.1114934435836,2470.0723401143937,2490.086706028923,15.0,15.000000000000002
101.0,1010,5,9.878153090049691,39.975212585360424,19.989811181883926,2434.811493443584,2454.772340114402,2474.786706028924,15.0,15.000000000000002
102.0,1020,5,9.87815308825296,39.975212585358236,19.989811181450136,2419.511493443584,2439.47234011441,2459.4867060289257,15.0,15.000000000000002
103.0,1030,5,9.878153086817164,39.97521258535622,19.989811181104418,2404.2114934435845,2424.172340114416,2444.1867060289264,15.0,15.000000000000002
104.0,1040,5,9.87815308567119,39.97521258535483,19.989811180829403,2388.9114934435843,2408.8723401144202,2428.886706028927,15.0,15.000000000000002
105.0,1050,5,9.878153084758404,39.97521258535327,19.989811180610648,2373.611493443584,2393.572340114424,2413.586706028928,15.0,15.000000000000002
106.0,1060,5,9.878153084031299,39.97521258535188,19.989811180436938,2358.311493443585,2378.2723401144276,2398.286706028928,15.0,15.000000000000002
107.0,1070,5,9.878153083453459,39.97521258535097,19.989811180299345,2343.0114934435846,2362.9723401144292,2382.9867060289284,15.0,15.000000000000002
108.0,1080,5,9.87815308299527,39.97521258534977,19.98981118019028,2327.711493443585,2347.672340114431,2367.686706028929,15.0,15.000000000000002
109.0,1090,5,9.878153082632132,39.975212585349006,19.989811180104066,2312.4114934435847,2332.372340114433,2352.3867060289294,15.0,15.000000000000002
110.0,1100,5,9.878153082345097,39.97521258534813,19.98981118003598,2297.1114934435855,2317.072340114434,2337.0867060289297,15.0,15.000000000000002
111.0,1110,5,9.878153082118796,39.97521258534723,19.989811179982265,2281.8114934435857,2301.772340114435,2321.786706028929,15.0,15.000000000000002
112.0,1120,5,9.878153081940038,39.97521258534674,19.98981117994008,2266.5114934435856,2286.4723401144356,2306.48670602893,15.0,15.000000000000002
113.0,1130,5,9.878153081799232,39.975212585346185,19.989811179906933,2251.2114934435854,2271.1723401144363,2291.1867060289296,15.0,15.000000000000002
114.0,1140,5,9.878153081689169,39.97521258534609,19.989811179880977,2235.911493443585,2255.8723401144366,2275.88670602893,15.0,15.000000000000002
115.0,1150,5,9.878153081602207,39.975212585345936,19.989811179860673,2220.611493443585,2240.572340114437,2260.58670602893,15.0,15.000000000000002
116.0,1160,5,9.878153081534476,39.97521258534574,19.989811179844686,2205.3114934435853,2225.272340114437,2245.2867060289304,15.0,15.000000000000002
117.0,1170,5,9.878153081481361,39.97521258534594,19.989811179832365,2190.011493443585,2209.9723401144374,2229.9867060289303,15.0,15.000000000000002
118.0,1180,5,9.87815308143992,39.9752125853457,19.989811179822624,2174.7114934435845,2194.672340114438,2214.6867060289296,15.0,15.000000000000002
119.0,1190,5,9.878153081407289,39.975212585345275,19.989811179814886,2159.411493443585,2179.372340114438,2199.38670602893,15.0,15.000000000000002
120.0,1200,5,9.878153081382088,39.97521258534534,19.989811179809003,2144.1114934435855,2164.072340114438,2184.0867060289297,15.0,15.000000000000002
121.0,1210,5,9.878153081362461,39.9752125853451,19.989811179804317,2128.811493443585,2148.7723401144385,2168.78670602893,15.0,15.000000000000002
122.0,1220,5,9.878153081347266,39.97521258534526,19.989811179800817,2113.5114934435846,2133.472340114438,2153.48670602893,15.0,15.000000000000002
123.0,1230,5,9.878153081335913,39.97521258534508,19.98981117979809,2098.2114934435854,2118.172340114438,2138.18670602893,15.0,15.000000000000002
124.0,1240,5,9.878153081326781,39.975212585344856,19.98981117979591,2082.9114934435847,2102.872340114438,2122.8867060289294,15.0,15.0
125.0,1250,5,9.87815308132012,39.975212585345076,19.98981117979445,2067.611493443585,2087.572340114438,2107.5867060289297,15.0,15.000000000000002
126.0,1260,5,9.878153081314991,39.975212585345304,19.9898111797933,2052.311493443585,2072.2723401144385,2092.2867060289304,15.0,15.000000000000002
127.0,1270,5,9.878153081311096,39.97521258534511,19.98981117979223,2037.0114934435849,2056.972340114438,2076.98670602893,15.0,15.000000000000002
128.0,1280,5,9.878153081307799,39.97521258534459,19.989811179791303,2021.7114934435851,2041.6723401144384,2061.6867060289296,15.0,15.000000000000002
129.0,1290,5,9.878153081305525,39.97521258534466,19.989811179790827,2006.4114934435854,2026.3723401144384,2046.38670602893,15.0,15.0
130.0,1300,5,9.878153081303862,39.97521258534474,19.98981117979048,1991.1114934435852,2011.0723401144382,2031.08670602893,15.0,15.0
131.0,1310,5,9.878153081302477,39.97521258534498,19.98981117979026,1975.8114934435853,1995.7723401144383,2015.7867060289302,15.0,15.000000000000002
132.0,1320,5,9.878153081301221,39.975212585345254,19.989811179790042,1960.511493443585,1980.4723401144388,2000.4867060289305,15.0,15.000000000000002
133.0,1330,5,9.878153081300766,39.9752125853451,19.989811179789804,1945.2114934435854,1965.1723401144384,1985.1867060289303,15.0,15.000000000000002
134.0,1340,5,9.878153081299889,39.97521258534505,19.989811179789605,1929.9114934435854,1949.8723401144384,1969.8867060289303,15.0,15.000000000000002
135.0,1350,5,9.878153081298526,39.975212585345346,19.989811179789434,1914.6114934435848,1934.5723401144382,1954.5867060289304,15.0,15.000000000000002
136.0,1360,5,9.526821085014742,39.97521258534555,20.242921403430987,1899.3114934435846,1919.6459407898406,1939.2867060289302,14.788665012925454,15.000000000000002
137.0,1370,5,8.947707715008114,39.97521258534514,22.416119579097657,1884.0114934435849,1905.5062806346964,1923.9867060289303,15.0,15.000000000000002
138.0,1380,5,8.564721581348511,45.019130143734934,28.497500527262037,1868.711493443585,1892.6987244956713,1908.6867060289294,15.0,15.000000000000002
139.0,1390,5,8.086252929854307,60.60312920276241,37.76214615948122,1853.411493443585,1881.352698243547,1902.3608441472386,15.0,15.000000000000002
140.0,1400,5,7.743296184372893,79.48861295492279,48.911825239246205,1838.111493443585,1871.1586653873812,1899.6492628474691,15.0,15.000000000000002
141.0,1410,5,7.644433304106764,100.22287164431539,61.1312539259612,1822.8114934435846,1861.761310422881,1899.0532423344082,15.0,15.000000000000002
142.0,1420,5,7.720845156296199,121.97474799056702,73.97037079891811,1807.5114934435842,1852.8885446263346,1899.856525714642,15.0,15.000000000000002
143.0,1430,5,7.844483271831389,144.28073824654504,87.17374034966514,1792.2114934435842,1844.3592205973498,1901.5414888199368,15.0,15.0
144.0,1440,5,7.92828342199219,166.8868684938657,100.59392618654002,1776.9114934435843,1836.0589510050036,1903.7788411756608,15.0,15.000000000000002
145.0,1450,5,7.951257965424895,189.65982679801252,114.1465076144934,1761.6114934435839,1827.916917619438,1906.3813651171915,15.0,15.000000000000002
146.0,1460,5,7.934986726791267,212.53272213981518,127.78347751348062,1746.311493443583,1819.8895816144773,1909.2510547023967,15.0,15.000000000000002
147.0,1470,5,7.909652601494685,235.47061902958322,141.47644474618988,1731.011493443583,1811.9499614128836,1912.3353928309944,15.0,15.000000000000002
148.0,1480,5,7.893934646127926,258.45123154754583,155.2067879212143,1715.7114934435829,1804.080763858238,1915.6003175392295,15.0,15.000000000000002
149.0,1490,5,7.891087755865937,281.45771441269045,168.96140155921213,1700.4114934435831,1796.270971727202,1919.0198497647632,15.0,15.000000000000002
150.0,1500,5,7.895363078233468,304.4766249830931,182.73069965302363,1685.111493443583,1788.5133892282763,1922.5731644745454,15.0,15.000000000000002
151.0,1510,5,7.900155078389474,327.497854363715,196.5076797622425,1669.8114934435832,1780.8030131251871,1926.244523425731,15.0,15.000000000000002
152.0,1520,5,7.9022578401795895,350.51425470191725,210.2871849215681,1654.5114934435833,1773.1359767178176,1930.0227047210537,15.0,15.000000000000002
153.0,1530,5,7.901814676274829,373.52039891207284,224.06506959894259,1639.2114934435829,1765.5088149501203,1933.89912513686,15.0,15.000000000000002
154.0,1540,5,7.900252583806827,396.51091227191995,237.83732466905968,1623.9114934435831,1757.9178748130248,1937.8653516694915,15.0,15.000000000000002
155.0,1550,5,7.8984905942646755,419.47886837230004,251.5992416825457,1608.611493443582,1750.358725963135,1941.9107571508662,15.0,15.000000000000002
156.0,1560,5,7.896305302647887,442.4142585571132,265.3445351938486,1593.3114934435805,1742.8254125862193,1946.0203459680922,15.0,15.000000000000002
157.0,1570,5,7.892439873401483,465.30197101760507,279.0641232941592,1578.0114934435826,1735.309309553172,1950.1719506323957,15.0,15.000000000000002
158.0,1580,5,7.88451605287454,488.1181483126137,292.7439861252496,1562.7114934435813,1727.797143560811,1954.3312430190276,15.0,15.000000000000002
159.0,1590,5,7.867703751755599,510.82277431776964,306.36094578833365,1547.4114934435795,1720.2672498327552,1958.4417296027207,15.0,15.000000000000002
160.0,1600,5,7.830277196076624,533.3435107677245,319.8736657266657,1532.1114934435782,1712.6819251398178,1962.4034604518554,15.0,15.000000000000002
161.0,1610,5,7.747344080530745,555.5339908237066,333.2012715863965,1516.811493443577,1704.972142118014,1966.030219799805,15.0,15.000000000000002
162.0,1620,5,7.551406788606034,577.123382316297,346.19318978117565,1501.5114934435765,1697.0167093211244,1968.9849613951317,15.0,15.000000000000002
163.0,1630,5,7.0786276740009155,597.6084476753412,358.5787160727744,1486.211493443576,1688.6059922578413,1970.658269293843,15.0,15.000000000000002
164.0,1640,5,6.308538966270886,616.4528440367444,370.05677987437883,1470.9114934435759,1679.5191525749487,1970.4751768806777,15.000000000000004,15.000000000000004
165.0,1650,5,5.897413662456602,634.236262338623,380.8586083004001,1455.611493443576,1669.9186622574023,1969.1826543018528,15.0,15.000000000000004
166.0,1660,5,6.2374275111905675,652.3072919548039,391.6857434825225,1440.311493443576,1660.320628537526,1968.30693462516,15.0,15.000000000000002
167.0,1670,5,6.9254557081470685,671.2424290250095,402.9611072400711,1425.0114934435758,1651.0821800476474,1968.5160725093783,15.0,15.000000000000002
168.0,1680,5,7.453961968913563,691.0119441425055,414.7624851405802,1409.7114934435758,1642.3183269894664,1969.8208009847074,15.0,15.000000000000002
169.0,1690,5,7.672878088131146,711.5031524198641,427.0394956939361,1394.4114934435759,1634.0206674029318,1972.1287374769456,15.0,15.000000000000002
170.0,1700,5,7.719998113754214,732.6426239947717,439.7223587630668,1379.1114934435757,1626.136298820187,1975.382674195334,15.0,15.000000000000002
171.0,1710,5,7.743063754000136,754.3486844440988,452.7418096063484,1363.8114934435757,1618.6037283098315,1979.503820606222,15.0,15.000000000000002
172.0,1720,5,7.785427410782393,776.5180095026718,466.031937859664,1348.5114934435755,1611.366894930814,1984.3731445325827,15.0,15.000000000000002
173.0,1730,5,7.829394562023434,799.050760587722,479.5360108463722,1333.2114934435754,1604.37889159708,1989.864850850615,15.0,15.000000000000002
174.0,1740,5,7.857753435854224,821.8696367170494,493.210192775623,1317.9114934435754,1597.6016472655406,1995.875840727169,15.0,15.000000000000002
175.0,1750,5,7.871328702284647,844.9201246558678,507.02230033457806,1302.6114934435752,1591.0044737228884,2002.3300043648405,15.0,15.000000000000002
176.0,1760,5,7.878414374424854,868.162380556726,520.9482375835271,1287.311493443575,1584.5625718899705,2009.169272775575,15.0,15.000000000000002
177.0,1770,5,7.884241080312277,891.5647516824611,534.9690588814822,1272.0114934435749,1578.255785106106,2016.3456658806767,15.000000000000004,15.000000000000002
178.0,1780,5,7.889515884887691,915.1011610825276,549.0694563756374,1256.711493443575,1572.0676193806814,2023.8182844323821,15.0,15.000000000000002
179.0,1790,5,7.893431025601812,938.7504027044716,563.237074112087,1241.4114934435747,1565.984486416051,2031.552823548222,15.0,15.0
180.0,1800,5,7.895801984949477,962.4955427162765,577.4620022254397,1226.1114934435745,1559.9951193511786,2039.5210608857578,15.0,15.000000000000002
181.0,1810,5,7.897162737452487,986.3230251109316,591.7362553032017,1210.8114934435746,1554.0901196257114,2047.6997515080868,15.0,15.000000000000002
182.0,1820,5,7.898083614668848,1010.2217956660844,606.0533078746861,1195.5114934435744,1548.2616029782225,2056.069442102403,15.0,15.000000000000002
183.0,1830,5,7.898811011834716,1034.1826929335364,620.4077597873993,1180.2114934435742,1542.5029208013007,2064.613623910921,15.0,15.000000000000002
184.0,1840,5,7.8993590565951575,1058.1978541637968,634.7950084728553,1164.9118092052893,1536.808502538375,2073.318225149146,15.0,15.000000000000002
185.0,1850,5,7.899878247740707,1082.2488459904162,649.2047139548887,1149.6215148632575,1531.1737676353864,2082.167504522747,14.980802085596036,15.000000000000002
186.0,1860,5,7.900649766394405,1106.2050783743969,663.5579708470648,1134.3455345873092,1525.5608740038967,2091.065097485614,14.864144662909828,15.000000000000002
187.0,1870,5,7.900915682033723,1129.8619460732523,677.73171015505,1119.0833046575642,1519.9078982194644,2099.8558454620784,14.664517685879407,15.000000000000002
188.0,1880,5,7.900722837189193,1153.063129444681,691.6318041581869,1103.8342835546875,1514.164599393493,2108.414324956416,14.40432819144577,15.000000000000002
189.0,1890,5,7.900713530790413,1175.696977920481,705.191071682664,1088.597951085589,1508.2922475139053,2116.6441364868124,14.103171435580384,15.000000000000002
190.0,1900,5,7.901184414554138,1197.6912167871901,718.3661820773865,1073.373807543541,1502.2624354517345,2124.474507492164,13.77839308367488,15.000000000000002
191.0,1910,5,7.901433576900609,1219.0042880474214,731.1320697324188,1058.1613729013832,1496.0555154743365,2131.8564909995616,13.441119722655568,15.000000000000002
192.0,1920,5,7.901350373535486,1239.617243731558,743.4773566274497,1042.9601860364958,1489.65900595363,2138.759186029167,13.100053647216631,15.000000000000002
193.0,1930,5,7.901204416175719,1259.5290692121032,755.4014928545757,1027.7698039862987,1483.066333947608,2145.1665496543546,12.762045077432699,15.000000000000002
